comp,matches,decisive_rate,samples_00at60,decisive_00at60_rate
Belgian First Division B,27,81.48,10,70.0
Bolivian Liga de Futbol Profesional,52,92.31,13,84.62
Cypriot 1st Division,21,85.71,8,75.0
Danish Superliga,60,80.0,15,73.33
French Ligue 1,103,83.5,25,88.0
Greek Super League,44,81.82,15,80.0
Indonesian Liga 1,55,80.0,13,84.62
Northern Irish Premiership,69,86.96,18,72.22
Norwegian 2nd Division,44,79.55,7,85.71
Singapore Premier League,23,86.96,6,83.33
Slovenian Premier League,64,78.12,10,80.0
Swedish Allsvenskan,81,77.78,26,73.08
Swiss Super League,68,83.82,13,76.92
